Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0402,3,100n,
"C10, C5, C8, C9",0603,4,100n,
"C11, C12",0805,2,22u,
"C13, C4",0603,2,10u,
C6,0402,1,1u,
C7,0603,1,1u,
"D1, D10, D11, D2, D3, D4, D5, D6, D7, D8, D9",0603,11,RED LED,
FB1,0603,1,130R,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,
"J2, J3, J4",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
"J5, J6",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05,
J7,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
R1,0603,1,10k,
"R10, R11, R12, R13, R14, R15, R4, R5, R6, R7, R8, R9",0603,12,1k5,
R16,0603,1,120R,
"R17, R18, R19, R20, R21, R22, R23, R24, R25, R3",0603,10,1.5k,
R2,0603,1,R,
R26,0603,1,1.0k,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2542FD,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U5,TSSOP-14_4.4x5mm_P0.65mm,1,74HC164,
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,OXETDLJANF-8MHZ,
